track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
21004,2009-08-09 20:30:00,45.406,7.945,328.378,100,78.338
21059,2009-08-10 10:30:00,46.999,13.595,7.120,6,345.770
21084,2009-08-10 18:30:00,45.893,12.923,770.473,235,71.534
21356,2009-08-13 15:30:00,46.110,11.657,103.536,27,112.792
22239,2009-08-22 09:30:00,48.928,13.526,526.822,183,74.698
23533,2009-09-04 06:30:00,48.008,13.576,921.440,455,271.219
11001,2010-05-04 17:30:00,45.122,9.924,735.449,171,346.569
11133,2010-05-05 23:30:00,45.914,11.894,124.106,40,36.249
13275,2010-05-29 10:30:00,45.674,10.799,7.571,5,84.791
14580,2010-06-12 14:30:00,47.759,13.324,693.598,156,55.974
14662,2010-06-13 11:30:00,47.293,12.561,156.668,37,239.642
15070,2010-06-17 14:30:00,45.967,15.234,638.445,124,56.516
15227,2010-06-19 10:30:00,45.943,8.565,209.365,55,145.720
17412,2010-07-11 14:30:00,47.131,10.333,19.044,9,62.090
17867,2010-07-15 14:30:00,47.632,15.397,76.257,21,326.893
18019,2010-07-16 23:30:00,48.689,11.634,1908.638,491,7.310
19241,2010-07-29 05:30:00,45.181,12.666,305.596,103,256.844
19632,2010-08-01 19:30:00,47.414,9.080,690.168,150,49.917
20057,2010-08-05 17:30:00,46.175,15.222,854.658,130,48.140
20651,2010-08-11 17:30:00,45.129,7.653,274.677,37,52.234
20762,2010-08-12 18:30:00,45.037,11.070,137.038,34,54.691
20839,2010-08-13 14:30:00,46.348,15.426,1465.428,376,65.178
24369,2010-09-18 14:30:00,45.979,13.890,1297.834,363,136.674
24937,2010-09-24 17:30:00,45.795,10.870,1019.242,258,37.829
24975,2010-09-25 03:30:00,46.024,14.441,1716.238,364,237.718
25027,2010-09-25 17:30:00,48.322,15.109,954.191,448,155.558
14276,2011-05-31 12:30:00,47.725,11.103,23.019,9,80.154
14837,2011-06-06 13:30:00,48.022,10.789,217.259,48,41.546
16368,2011-06-23 11:30:00,47.017,12.407,854.923,154,46.998
16948,2011-06-29 12:30:00,46.145,8.662,1033.597,201,185.426
16989,2011-06-29 22:30:00,47.470,9.255,409.895,116,63.830
17796,2011-07-07 16:30:00,48.508,9.513,3466.685,589,36.976
17977,2011-07-09 16:30:00,45.138,6.288,72.354,22,69.607
18325,2011-07-13 14:30:00,47.631,13.993,222.076,73,334.343
20203,2011-08-03 07:30:00,47.191,8.489,118.514,39,70.157
22117,2011-08-23 22:30:00,48.846,10.356,646.544,149,34.522
22890,2011-09-01 14:30:00,47.290,15.487,338.874,96,104.905
24507,2011-09-18 20:30:00,45.052,11.031,1914.820,676,39.297
11556,2012-05-06 08:30:00,47.016,9.977,102.552,28,41.436
13125,2012-05-21 17:30:00,48.402,8.155,654.554,172,219.877
14917,2012-06-09 08:30:00,45.658,13.650,251.281,72,47.752
14973,2012-06-09 18:30:00,45.920,8.797,878.675,191,71.762
15944,2012-06-21 12:30:00,47.601,15.000,34.898,15,63.448
16305,2012-06-25 08:30:00,47.287,15.466,790.640,218,74.813
17000,2012-07-02 14:30:00,47.723,11.674,15.171,12,4.551
17101,2012-07-03 12:30:00,46.409,15.183,37.807,14,357.491
17332,2012-07-05 11:30:00,46.123,14.515,261.783,56,67.930
17362,2012-07-05 16:30:00,47.669,9.818,385.787,142,63.230
17397,2012-07-06 01:30:00,45.817,10.404,118.097,25,36.852
18199,2012-07-13 04:30:00,47.104,11.239,432.214,229,125.473
18878,2012-07-19 13:30:00,47.700,15.301,10.430,5,61.491
18968,2012-07-20 15:30:00,47.190,11.322,770.920,185,121.226
19037,2012-07-21 08:30:00,46.017,11.687,1416.672,306,63.998
19759,2012-07-28 12:30:00,47.343,12.313,1315.585,223,53.534
19828,2012-07-29 10:30:00,47.351,14.340,462.334,88,176.284
21439,2012-08-16 11:30:00,46.566,12.097,1215.350,182,94.141
21822,2012-08-20 13:30:00,46.297,7.780,73.456,21,38.319
22732,2012-08-29 14:30:00,45.943,6.091,735.868,232,47.322
24682,2012-09-19 10:30:00,46.399,11.768,457.332,136,83.443
25284,2012-09-25 19:30:00,47.062,13.942,29.399,15,98.015
10966,2013-05-02 11:30:00,47.168,13.631,173.020,75,95.434
11087,2013-05-03 13:30:00,47.782,7.058,582.261,74,351.075
11278,2013-05-05 14:30:00,45.156,10.678,2349.305,483,301.543
11685,2013-05-09 22:30:00,48.770,9.613,284.572,84,214.660
12620,2013-05-19 10:30:00,47.894,12.034,60.272,38,164.944
14852,2013-06-10 10:30:00,45.208,15.840,9.858,5,73.247
15655,2013-06-18 12:30:00,47.301,14.746,20.882,8,30.779
15799,2013-06-20 03:30:00,46.106,5.961,1281.432,370,155.668
16084,2013-06-23 14:30:00,46.312,9.458,30.645,8,39.374
16154,2013-06-24 08:30:00,45.558,15.136,3048.077,566,18.882
16473,2013-06-27 11:30:00,45.900,8.549,13.357,7,112.076
17831,2013-07-11 12:30:00,46.059,15.302,18.489,9,245.040
