track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
11624,2010-05-10 18:30:00,43.320,1.134,339.643,50,25.516
11923,2010-05-14 04:30:00,40.939,1.879,27.806,11,43.960
12891,2010-05-25 13:30:00,49.273,0.418,5.191,3,72.918
12896,2010-05-25 15:30:00,44.498,0.250,2.316,2,76.620
12905,2010-05-25 17:30:00,47.742,-3.856,368.115,98,29.014
13989,2010-06-06 01:30:00,41.952,-0.192,293.163,50,68.467
14165,2010-06-07 23:30:00,46.624,0.476,29.617,21,188.775
16033,2010-06-27 13:30:00,40.794,-1.784,65.820,30,8.940
17489,2010-07-12 08:30:00,46.451,1.388,181.846,91,56.390
18517,2010-07-21 15:30:00,42.444,-0.337,158.002,28,95.727
19589,2010-08-01 09:30:00,45.245,0.720,240.794,102,83.972
19723,2010-08-02 13:30:00,43.067,-0.286,27.522,12,135.111
20729,2010-08-12 12:30:00,42.543,1.912,241.799,78,143.319
20834,2010-08-13 12:30:00,40.137,0.088,264.731,77,229.452
12610,2011-05-14 17:30:00,41.806,2.309,542.777,140,69.927
14079,2011-05-29 10:30:00,40.850,-2.122,52.782,32,334.337
14166,2011-05-30 07:30:00,40.531,-3.900,4.422,4,116.639
14639,2011-06-04 08:30:00,42.883,4.888,152.559,40,321.297
14757,2011-06-05 16:30:00,48.589,4.392,111.252,59,14.521
14836,2011-06-06 13:30:00,41.575,-1.504,272.383,79,23.679
16212,2011-06-21 17:30:00,42.267,-0.377,1828.764,486,55.557
18002,2011-07-09 23:30:00,43.389,-0.676,259.153,57,43.161
18181,2011-07-11 20:30:00,45.005,-3.965,456.689,94,359.541
22209,2011-08-24 23:30:00,42.404,-0.507,355.184,60,73.556
22777,2011-08-31 12:30:00,41.696,1.240,37.984,11,30.056
22908,2011-09-01 16:30:00,45.098,1.197,490.360,171,58.803
11373,2012-05-04 10:30:00,44.622,0.969,546.124,163,8.029
11487,2012-05-05 14:30:00,45.533,4.002,1808.539,670,341.752
12859,2012-05-18 22:30:00,44.467,-2.133,8.783,6,211.093
12922,2012-05-19 15:30:00,43.872,1.006,120.682,41,121.678
12959,2012-05-20 05:30:00,42.577,3.029,1986.645,419,12.765
15685,2012-06-18 14:30:00,41.206,-0.926,17.809,13,75.337
17252,2012-07-04 17:30:00,42.925,0.810,15.195,9,216.441
19663,2012-07-27 10:30:00,46.067,-2.728,31.324,20,64.342
19680,2012-07-27 12:30:00,41.181,-1.800,77.239,26,351.691
22754,2012-08-29 16:30:00,42.050,-1.417,4.165,3,63.469
10835,2013-05-01 05:30:00,43.975,4.094,93.324,41,351.740
10994,2013-05-02 16:30:00,43.826,2.437,2067.078,326,41.896
12132,2013-05-14 11:30:00,41.525,-2.738,19.939,14,195.236
12441,2013-05-17 12:30:00,43.090,-1.506,453.492,87,42.240
14456,2013-06-06 13:30:00,43.094,-3.451,1770.580,373,93.291
14677,2013-06-08 16:30:00,43.931,-1.948,628.806,342,156.399
15905,2013-06-21 08:30:00,42.008,-1.856,14.553,9,185.106
18845,2013-07-21 14:30:00,46.834,-0.947,14.112,9,354.637
19046,2013-07-23 13:30:00,45.929,1.459,11.959,8,70.306
21495,2013-08-16 12:30:00,41.070,-0.824,106.478,65,48.525
25637,2013-09-28 14:30:00,45.524,-0.339,411.502,97,74.968
13111,2014-05-25 20:30:00,42.416,-0.959,511.838,118,96.517
14506,2014-06-08 19:30:00,49.596,2.966,326.240,94,243.690
14520,2014-06-09 00:30:00,45.912,-0.872,198.307,105,8.750
15576,2014-06-20 13:30:00,42.554,-3.723,203.851,75,0.575
15750,2014-06-22 13:30:00,43.143,0.077,12.496,7,71.385
16850,2014-07-03 09:30:00,40.102,-4.312,206.854,73,42.946
16935,2014-07-04 07:30:00,44.753,2.222,37.089,16,50.297
17168,2014-07-06 20:30:00,42.501,-0.137,613.451,197,126.918
18415,2014-07-19 21:30:00,46.004,1.114,1919.520,415,3.474
18828,2014-07-24 16:30:00,41.804,-3.041,22.729,10,43.274
19533,2014-08-01 12:30:00,43.942,-0.466,140.153,51,122.835
19625,2014-08-02 11:30:00,41.375,1.227,40.922,19,35.797
21232,2014-08-18 13:30:00,41.891,-3.150,3.385,2,83.917
21689,2014-08-22 14:30:00,42.759,2.612,93.175,29,216.751
22346,2014-08-28 23:30:00,44.800,-0.204,359.804,76,101.605
23298,2014-09-07 14:30:00,42.956,-0.381,610.330,192,193.608
23379,2014-09-08 10:30:00,43.663,2.219,272.141,40,48.649
23955,2014-09-14 16:30:00,42.027,-0.159,15.283,11,77.839
24115,2014-09-16 17:30:00,41.750,-1.271,961.406,249,14.230
24136,2014-09-16 23:30:00,41.996,3.274,1808.314,274,126.576
