track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
21297,2008-08-09 12:30:00,50.913,27.267,686.900,179,56.433
21861,2008-08-15 01:30:00,51.500,24.760,156.070,49,253.155
21920,2008-08-15 15:30:00,50.626,18.015,5910.826,962,49.694
21959,2008-08-16 00:30:00,50.864,17.952,2903.099,596,26.421
22022,2008-08-16 12:30:00,50.436,19.866,548.404,193,103.691
22720,2008-08-23 11:30:00,53.973,24.217,25.534,10,1.294
24362,2008-09-08 11:30:00,47.348,24.976,253.690,69,2.072
25045,2008-09-15 22:30:00,46.697,27.156,2319.155,663,53.311
25262,2008-09-18 08:30:00,51.237,26.147,73.925,31,283.007
12805,2009-05-16 13:30:00,49.901,21.717,37.305,18,76.672
13414,2009-05-22 09:30:00,51.746,15.574,733.511,146,144.597
13456,2009-05-22 21:30:00,46.652,22.366,2203.010,670,60.484
14234,2009-05-31 12:30:00,52.341,17.214,112.630,40,39.007
14816,2009-06-06 17:30:00,50.321,17.440,3041.875,535,83.150
14878,2009-06-07 12:30:00,46.302,16.446,1902.373,475,62.897
15119,2009-06-10 12:30:00,51.199,19.845,1285.386,306,72.354
15226,2009-06-11 12:30:00,53.282,29.451,524.685,128,262.139
15245,2009-06-11 18:30:00,47.960,22.403,95.298,49,226.912
16457,2009-06-23 10:30:00,50.752,24.427,1069.914,230,21.985
16463,2009-06-23 11:30:00,50.956,23.944,1382.186,263,240.955
16569,2009-06-24 10:30:00,51.279,27.892,512.833,114,36.033
16669,2009-06-25 10:30:00,50.526,23.520,246.021,54,292.551
16776,2009-06-26 08:30:00,47.702,29.492,110.653,57,117.748
16794,2009-06-26 13:30:00,49.322,21.789,43.876,13,129.423
16888,2009-06-27 10:30:00,48.362,29.193,965.084,257,308.568
17098,2009-06-29 10:30:00,53.454,19.370,277.899,73,199.826
17203,2009-06-30 10:30:00,50.791,18.721,8.110,5,76.621
17315,2009-07-01 12:30:00,52.523,18.837,367.822,123,36.198
17416,2009-07-02 11:30:00,51.560,26.420,37.812,16,284.767
17609,2009-07-04 10:30:00,51.701,15.102,240.930,85,350.254
17993,2009-07-07 23:30:00,50.681,20.297,127.402,30,13.690
